system:index,area_km2,year,class,band,class_name,.geo
9_0_6,3547.245708,1994,21,classification_1994,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_7,78.03434498,1994,24,classification_1994,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_8,149.4745333,1994,25,classification_1994,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_9,288.5011291,1994,29,classification_1994,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_10,180.4992279,1994,33,classification_1994,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_11,1728.943805,1994,39,classification_1994,Soy Beans,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_12,393.8004034,1994,41,classification_1994,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_0,5494.711517,1995,3,classification_1995,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_1,6817.233514,1995,4,classification_1995,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_2,1.435044084,1995,9,classification_1995,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_3,571.4871422,1995,11,classification_1995,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_4,1182.089527,1995,12,classification_1995,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_5,7321.066779,1995,15,classification_1995,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_6,0.006882485413,1995,20,classification_1995,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_7,3460.030903,1995,21,classification_1995,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_8,78.31223136,1995,24,classification_1995,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_9,137.0825299,1995,25,classification_1995,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_10,288.5645842,1995,29,classification_1995,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_11,200.8684243,1995,33,classification_1995,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_12,1630.049489,1995,39,classification_1995,Soy Beans,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_13,542.0823945,1995,41,classification_1995,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_0,5483.779891,1996,3,classification_1996,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_1,6678.493949,1996,4,classification_1996,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_2,1.619268131,1996,9,classification_1996,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_3,627.0874987,1996,11,classification_1996,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_4,1137.860882,1996,12,classification_1996,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_5,7580.601718,1996,15,classification_1996,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_6,0.08946937567,1996,20,classification_1996,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_7,3239.454701,1996,21,classification_1996,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
